"Obs","ctb_item_id","a_param","b_param","c_param","CTB_OBJECTIVE_ID","new_ctb_obj_id","CTB_PASSAGE_ID","NEW_CTB_PASSAGE_ID","ITEM_ORDER","Enemy","CTB_OBJECTIVE_TITLE","CTB_LEVEL_ID","CTB_ANSWER_KEY"
"1",00308666,0.00755,486.663,0.2000,2498,2498,0,0,0,0,"Number and Number Operations","M",2
"2",00309074,0.00774,552.927,0.2000,2498,2498,0,0,0,0,"Number and Number Operations","D",3
"3",00308638,0.00835,543.595,0.1983,2498,2498,0,0,0,0,"Number and Number Operations","M",3
"4",00308624,0.00857,495.535,0.2072,2498,2498,0,0,0,0,"Number and Number Operations","M",2
"5",00309574,0.00924,558.877,0.2000,2498,2498,0,0,0,0,"Number and Number Operations","A",2
"6",00309050,0.00927,545.305,0.1935,2498,2498,0,0,0,0,"Number and Number Operations","D",2
"7",00306287,0.00963,460.522,0.2000,2498,2498,033,033,1,0,"Number and Number Operations","E",2
"8",00308784,0.00995,441.534,0.2000,2498,2498,017,017,2,0,"Number and Number Operations","M",2
"9",00309194,0.01116,574.391,0.2000,2498,2498,924,0,0,0,"Number and Number Operations","D",4
"10",00308634,0.01126,452.841,0.2000,2498,2498,0,0,0,0,"Number and Number Operations","M",3
"11",00309396,0.01161,606.348,0.2202,2498,2498,002,0,0,0,"Number and Number Operations","A",1
"12",00309182,0.01173,485.495,0.1953,2498,2498,0,0,0,0,"Number and Number Operations","D",1
"13",00309214,0.01195,640.523,0.1796,2498,2498,0,0,0,0,"Number and Number Operations","D",4
"14",00309726,0.01244,664.133,0.2760,2498,2498,0,0,0,0,"Number and Number Operations","A",2
"15",00306427,0.01327,475.035,0.1985,2498,2498,902,0,0,0,"Number and Number Operations","E",2
"16",00308974,0.01333,559.063,0.1641,2498,2498,0,0,0,0,"Number and Number Operations","D",1
"17",00308602,0.01344,470.537,0.2000,2498,2498,0,0,0,0,"Number and Number Operations","M",2
"18",00306337,0.01348,411.823,0.2000,2498,2498,0,0,0,0,"Number and Number Operations","E",2
"19",00308588,0.01353,398.810,0.2000,2498,2498,910,0,0,0,"Number and Number Operations","M",4
"20",00309608,0.01353,684.117,0.2994,2498,2498,940,940,1,0,"Number and Number Operations","A",2
"21",00309300,0.01370,541.012,0.2221,2498,2498,0,0,0,0,"Number and Number Operations","D",1
"22",00308576,0.01381,435.631,0.2000,2498,2498,0,0,0,0,"Number and Number Operations","M",1
"23",00306175,0.01411,442.044,0.1976,2498,2498,903,0,0,0,"Number and Number Operations","E",1
"24",00309186,0.01427,480.292,0.2000,2498,2498,0,0,0,0,"Number and Number Operations","D",2
"25",00308594,0.01525,461.755,0.1693,2498,2498,0,0,0,0,"Number and Number Operations","M",4
"26",00308822,0.01530,504.210,0.1506,2498,2498,0,0,0,0,"Number and Number Operations","M",4
"27",00309468,0.01539,670.371,0.2520,2498,2498,0,0,0,0,"Number and Number Operations","A",2
"28",00306369,0.01562,378.175,0.2000,2498,2498,0,0,0,0,"Number and Number Operations","E",3
"29",00309360,0.01575,529.576,0.2164,2498,2498,016,0,0,0,"Number and Number Operations","D",3
"30",00309002,0.01587,468.621,0.2000,2498,2498,0,0,0,0,"Number and Number Operations","D",1
"31",00308762,0.01610,492.942,0.2251,2498,2498,0,0,0,0,"Number and Number Operations","M",1
"32",00308824,0.01614,450.011,0.1837,2498,2498,0,0,0,0,"Number and Number Operations","M",3
"33",00309402,0.01625,520.036,0.1570,2498,2498,0,0,0,0,"Number and Number Operations","A",1
"34",00309308,0.01648,494.118,0.1721,2498,2498,0,0,0,0,"Number and Number Operations","D",1
"35",00306171,0.01706,459.110,0.2358,2498,2498,0,0,0,0,"Number and Number Operations","E",2
"36",00306385,0.01708,410.126,0.2000,2498,2498,0,0,0,0,"Number and Number Operations","E",1
"37",00306203,0.01720,446.058,0.2000,2498,2498,0,0,0,0,"Number and Number Operations","E",4
"38",00308664,0.01736,512.279,0.1768,2498,2498,918,0,0,0,"Number and Number Operations","M",4
"39",00308770,0.01768,538.990,0.1438,2498,2498,916,0,0,0,"Number and Number Operations","M",4
"40",00306215,0.01774,410.660,0.2000,2498,2498,0,0,0,0,"Number and Number Operations","E",1
"41",00306313,0.01783,451.262,0.2296,2498,2498,905,905,2,0,"Number and Number Operations","E",3
"42",00308598,0.01826,464.171,0.1942,2498,2498,0,0,0,0,"Number and Number Operations","M",2
"43",00308792,0.01834,502.361,0.1461,2498,2498,0,0,0,0,"Number and Number Operations","M",2
"44",00309656,0.01906,596.696,0.2477,2498,2498,009,049,1,0,"Number and Number Operations","A",3
"45",00308676,0.01925,423.385,0.2000,2498,2498,0,0,0,0,"Number and Number Operations","M",4
"46",00309526,0.02033,693.652,0.1671,2498,2498,0,0,0,0,"Number and Number Operations","A",4
"47",00309092,0.02050,613.068,0.1902,2498,2498,0,0,0,0,"Number and Number Operations","D",1
"48",00309366,0.02054,570.310,0.2420,2498,2498,930,930,1,0,"Number and Number Operations","D",1
"49",00306311,0.02086,462.971,0.2368,2498,2498,905,905,1,0,"Number and Number Operations","E",3
"50",00306177,0.02106,535.305,0.2416,2498,2498,903,0,0,0,"Number and Number Operations","E",3
"51",00309118,0.02107,578.636,0.2172,2498,2498,013,050,2,0,"Number and Number Operations","D",2
"52",00308606,0.02146,550.655,0.1360,2498,2498,026,0,0,0,"Number and Number Operations","M",4
"53",00308886,0.02147,498.608,0.1881,2498,2498,0,0,0,0,"Number and Number Operations","M",1
"54",00309610,0.02150,665.265,0.1909,2498,2498,940,940,2,0,"Number and Number Operations","A",4
"55",00306207,0.02156,424.743,0.1944,2498,2498,031,0,0,0,"Number and Number Operations","E",3
"56",00306309,0.02161,422.534,0.1964,2498,2498,905,0,0,0,"Number and Number Operations","E",1
"57",00306341,0.02188,424.788,0.2388,2498,2498,0,0,0,0,"Number and Number Operations","E",4
"58",00309654,0.02195,655.050,0.2074,2498,2498,009,0,0,0,"Number and Number Operations","A",3
"59",00309010,0.02235,580.585,0.2643,2498,2498,0,0,0,0,"Number and Number Operations","D",3
"60",00306353,0.02248,417.199,0.1741,2498,2498,036,036,1,0,"Number and Number Operations","E",4
"61",00306199,0.02257,394.802,0.2000,2498,2498,901,901,2,0,"Number and Number Operations","E",1
"62",00306349,0.02290,462.927,0.1378,2498,2498,035,0,0,0,"Number and Number Operations","E",4
"63",00309176,0.02301,646.180,0.2519,2498,2498,0,0,0,0,"Number and Number Operations","D",3
"64",00309604,0.02327,593.138,0.2235,2498,2498,940,0,0,0,"Number and Number Operations","A",3
"65",00306259,0.02547,480.509,0.3210,2498,2498,040,0,0,0,"Number and Number Operations","E",1
"66",00306351,0.02600,421.263,0.2019,2498,2498,035,0,0,0,"Number and Number Operations","E",3
