"Obs","CTB_ITEM_ID","a_param","b_param","c_param","CTB_OBJECTIVE_ID","new_ctb_obj_id","CTB_PASSAGE_ID","NEW_CTB_PASSAGE_ID","ITEM_ORDER","Enemy","CTB_OBJECTIVE_TITLE","CTB_LEVEL_ID","CTB_ANSWER_KEY"
"1",00306042,0.00511,518.373,0.2000,2478,2478,517,538,3,517,"Usage","A",1
"2",00304718,0.00534,513.501,0.2000,2478,2478,504,554,3,504,"Usage","E",3
"3",00305248,0.00613,516.823,0.2000,2478,2478,0,0,0,0,"Usage","D",4
"4",00305706,0.00712,573.486,0.2000,2478,2478,0,0,0,0,"Usage","A",4
"5",00305276,0.00737,533.990,0.2000,2478,2478,0,0,0,0,"Usage","A",4
"6",00305376,0.00761,501.686,0.2000,2478,2478,512,543,3,512,"Usage","D",1
"7",00305502,0.00765,491.452,0.2033,2478,2478,0,0,0,0,"Usage","D",4
"8",00305030,0.00822,421.338,0.2000,2478,2478,0,0,0,0,"Usage","M",2
"9",00305246,0.00839,519.731,0.2000,2478,2478,0,0,0,0,"Usage","A",4
"10",00304868,0.00840,504.801,0.2000,2478,2478,0,0,0,0,"Usage","M",3
"11",00305244,0.00850,531.444,0.2000,2478,2478,0,0,0,0,"Usage","A",3
"12",00305022,0.00861,467.278,0.2000,2478,2478,0,0,0,0,"Usage","M",2
"13",00305468,0.00901,419.644,0.2000,2478,2478,0,0,0,0,"Usage","D",2
"14",00304804,0.00929,437.946,0.2000,2478,2478,0,0,0,0,"Usage","M",1
"15",00305242,0.00982,463.913,0.2000,2478,2478,0,0,0,0,"Usage","D",4
"16",00304806,0.00989,423.822,0.2000,2478,2478,0,0,0,0,"Usage","M",1
"17",00305586,0.00994,471.106,0.2000,2478,2478,008,011,3,008,"Usage","D",1
"18",00304602,0.01000,305.717,0.2000,2478,2478,0,0,0,0,"Usage","E",2
"19",00305708,0.01000,556.200,0.2000,2478,2478,0,0,0,0,"Usage","A",4
"20",00306080,0.01004,619.408,0.2647,2478,2478,004,008,4,004,"Usage","A",1
"21",00306064,0.01017,541.298,0.2000,2478,2478,004,007,1,004,"Usage","A",3
"22",00304810,0.01056,437.815,0.2000,2478,2478,0,0,0,0,"Usage","M",4
"23",00305042,0.01059,597.826,0.2003,2478,2478,0,0,0,0,"Usage","M",4
"24",00305404,0.01074,510.110,0.2000,2478,2478,514,547,1,514,"Usage","D",1
"25",1433794,0.01074,510.110,0.2000,2478,2478,514,548,2,514,"Usage","D",1
"26",00305206,0.01095,481.165,0.1850,2478,2478,014,031,2,014,"Usage","M",1
"27",1433791,0.01095,481.165,0.1850,2478,2478,014,032,2,014,"Usage","M",1
"28",00304864,0.01099,546.195,0.2332,2478,2478,0,0,0,0,"Usage","M",4
"29",00305034,0.01149,435.107,0.2000,2478,2478,0,0,0,0,"Usage","M",1
"30",00304816,0.01165,509.196,0.2237,2478,2478,0,0,0,0,"Usage","M",3
"31",00305906,0.01167,444.851,0.2000,2478,2478,0,0,0,0,"Usage","A",1
"32",00304818,0.01177,419.988,0.2008,2478,2478,0,0,0,0,"Usage","M",2
"33",00305462,0.01198,438.131,0.2000,2478,2478,0,0,0,0,"Usage","D",2
"34",00305070,0.01204,463.725,0.2000,2478,2478,0,0,0,0,"Usage","M",1
"35",00305700,0.01243,473.685,0.2000,2478,2478,0,0,0,0,"Usage","A",4
"36",00306044,0.01254,490.769,0.2000,2478,2478,517,537,3,517,"Usage","A",3
"37",00305696,0.01270,526.928,0.2163,2478,2478,0,0,0,0,"Usage","A",2
"38",00305182,0.01276,470.263,0.1846,2478,2478,506,557,2,506,"Usage","M",4
"39",00304840,0.01292,459.742,0.1863,2478,2478,0,0,0,0,"Usage","M",4
"40",00305282,0.01295,471.554,0.2000,2478,2478,0,0,0,0,"Usage","D",4
"41",00305690,0.01313,492.261,0.2000,2478,2478,0,0,0,0,"Usage","A",4
"42",00305492,0.01315,579.851,0.2482,2478,2478,0,0,0,0,"Usage","D",4
"43",00304950,0.01321,515.971,0.2116,2478,2478,508,563,2,508,"Usage","M",3
"44",00305270,0.01345,542.460,0.2423,2478,2478,0,0,0,0,"Usage","D",2
"45",00304364,0.01355,490.747,0.2053,2478,2478,0,0,0,0,"Usage","E",3
"46",00306088,0.01357,522.054,0.2187,2478,2478,516,536,2,516,"Usage","A",2
"47",00306072,0.01367,624.383,0.3102,2478,2478,004,008,2,004,"Usage","A",1
"48",00304702,0.01368,466.248,0.1901,2478,2478,017,022,3,017,"Usage","E",4
"49",00305020,0.01372,389.647,0.2000,2478,2478,0,0,0,0,"Usage","M",3
"50",00304592,0.01390,446.490,0.1908,2478,2478,0,0,0,0,"Usage","E",4
"51",00304994,0.01404,523.592,0.2094,2478,2478,509,564,3,509,"Usage","M",1
"52",1433800,0.01404,523.592,0.2094,2478,2478,509,565,3,509,"Usage","M",1
"53",00305264,0.01411,564.770,0.2579,2478,2478,0,0,0,0,"Usage","D",3
"54",00305258,0.01414,516.054,0.2264,2478,2478,0,0,0,0,"Usage","D",3
"55",00304424,0.01419,425.356,0.2023,2478,2478,0,0,0,0,"Usage","E",3
"56",00305408,0.01423,476.956,0.1906,2478,2478,514,547,3,514,"Usage","D",3
"57",00305488,0.01430,551.662,0.2401,2478,2478,0,0,0,0,"Usage","D",1
"58",00305442,0.01439,581.567,0.2133,2478,2478,009,014,2,009,"Usage","D",4
"59",1433785,0.01439,581.567,0.2133,2478,2478,009,015,3,009,"Usage","D",4
"60",00304820,0.01452,514.809,0.2007,2478,2478,0,0,0,0,"Usage","M",4
"61",00305216,0.01465,522.494,0.2342,2478,2478,507,560,1,507,"Usage","M",3
"62",00305918,0.01466,621.103,0.2876,2478,2478,0,0,0,0,"Usage","A",3
"63",00305460,0.01524,456.624,0.2000,2478,2478,0,0,0,0,"Usage","D",1
"64",00304598,0.01542,423.914,0.1981,2478,2478,0,0,0,0,"Usage","E",2
"65",00305412,0.01557,463.571,0.2000,2478,2478,513,545,2,513,"Usage","D",3
"66",00306084,0.01577,494.420,0.2060,2478,2478,516,535,1,516,"Usage","A",3
"67",00305606,0.01592,454.805,0.1915,2478,2478,511,541,1,511,"Usage","D",2
"68",00305466,0.01598,388.316,0.2000,2478,2478,0,0,0,0,"Usage","D",4
"69",00305420,0.01627,567.490,0.2411,2478,2478,513,546,3,513,"Usage","D",4
"70",00306052,0.01642,484.308,0.2045,2478,2478,515,533,1,515,"Usage","A",1
"71",00305582,0.01648,491.476,0.1794,2478,2478,008,012,2,008,"Usage","D",4
"72",1433784,0.01648,491.476,0.1794,2478,2478,008,013,3,008,"Usage","D",4
"73",00304964,0.01657,443.469,0.2000,2478,2478,011,026,1,011,"Usage","M",3
"74",00304370,0.01663,432.047,0.1941,2478,2478,0,0,0,0,"Usage","E",3
"75",00306098,0.01668,526.295,0.2711,2478,2478,002,004,1,002,"Usage","A",2
"76",00306054,0.01671,486.151,0.2025,2478,2478,515,533,2,515,"Usage","A",4
"77",1433792,0.01671,486.151,0.2025,2478,2478,515,534,1,515,"Usage","A",4
"78",00306086,0.01682,481.441,0.2000,2478,2478,516,535,2,516,"Usage","A",1
"79",00304936,0.01698,455.895,0.1754,2478,2478,013,029,3,013,"Usage","M",3
"80",00305472,0.01698,533.604,0.2953,2478,2478,0,0,0,0,"Usage","D",4
"81",00305912,0.01713,528.062,0.2745,2478,2478,0,0,0,0,"Usage","A",1
"82",00305048,0.01715,483.574,0.2413,2478,2478,0,0,0,0,"Usage","M",2
"83",00304952,0.01732,468.847,0.1859,2478,2478,508,561,2,508,"Usage","M",1
"84",1433798,0.01732,468.847,0.1859,2478,2478,508,562,3,508,"Usage","M",1
"85",00304756,0.01777,462.212,0.1901,2478,2478,018,024,1,018,"Usage","E",1
"86",00305676,0.01792,544.321,0.3016,2478,2478,0,0,0,0,"Usage","A",4
"87",00304594,0.01802,411.844,0.2000,2478,2478,0,0,0,0,"Usage","E",2
"88",00304374,0.01810,418.372,0.1989,2478,2478,0,0,0,0,"Usage","E",3
"89",00305474,0.01832,520.077,0.2862,2478,2478,0,0,0,0,"Usage","D",3
"90",00304368,0.01838,421.409,0.2000,2478,2478,0,0,0,0,"Usage","E",4
"91",00304524,0.01841,420.079,0.2000,2478,2478,502,549,1,502,"Usage","E",3
"92",00305930,0.01863,594.987,0.2271,2478,2478,0,0,0,0,"Usage","A",4
"93",00306046,0.01869,469.016,0.2072,2478,2478,517,537,4,517,"Usage","A",4
"94",00304984,0.01879,455.041,0.2000,2478,2478,509,564,1,509,"Usage","M",3
"95",00305188,0.01880,454.226,0.1993,2478,2478,012,027,2,012,"Usage","M",3
"96",00305512,0.01881,519.524,0.2998,2478,2478,0,0,0,0,"Usage","D",3
"97",00304752,0.01888,492.748,0.2043,2478,2478,503,552,2,503,"Usage","E",3
