"Obs","ctb_item_id","ctb_level_id","ctb_answer_key","ctb_objective_id","ctb_objective_title","a_SS","b_SS","c_par"
"1",298991,"M",2,2461,"Vowel",0.00524,477.835,0.2000
"2",298677,"D",2,2461,"Vowel",0.00720,385.138,0.2000
"3",299041,"M",1,2461,"Vowel",0.00756,537.348,0.2137
"4",298713,"D",2,2461,"Vowel",0.00837,477.463,0.2000
"5",298955,"M",2,2461,"Vowel",0.00905,359.682,0.2000
"6",298499,"A",2,2461,"Vowel",0.00974,575.230,0.2236
"7",298523,"A",1,2461,"Vowel",0.00979,511.693,0.2000
"8",298881,"E",4,2461,"Vowel",0.01052,428.726,0.2036
"9",298613,"D",4,2461,"Vowel",0.01180,448.183,0.2000
"10",298511,"A",2,2461,"Vowel",0.01208,499.574,0.2856
"11",298807,"E",2,2461,"Vowel",0.01209,440.478,0.2149
"12",298939,"M",1,2461,"Vowel",0.01220,393.915,0.2000
"13",298801,"E",2,2461,"Vowel",0.01246,370.139,0.2000
"14",298653,"D",1,2461,"Vowel",0.01259,488.222,0.2125
"15",298693,"D",3,2461,"Vowel",0.01266,435.202,0.2183
"16",298517,"A",4,2461,"Vowel",0.01283,424.968,0.2000
"17",298451,"A",1,2461,"Vowel",0.01353,422.360,0.2000
"18",298835,"E",4,2461,"Vowel",0.01357,472.791,0.2014
"19",298931,"M",3,2461,"Vowel",0.01366,408.337,0.2101
"20",298519,"A",4,2461,"Vowel",0.01368,471.014,0.2000
"21",298869,"E",2,2461,"Vowel",0.01384,383.423,0.2145
"22",298887,"E",4,2461,"Vowel",0.01395,402.226,0.1754
"23",298989,"M",1,2461,"Vowel",0.01419,559.175,0.1811
"24",298839,"E",1,2461,"Vowel",0.01460,356.683,0.2024
"25",299013,"M",2,2461,"Vowel",0.01463,380.652,0.2000
"26",298999,"M",4,2461,"Vowel",0.01466,448.704,0.2256
"27",298627,"D",4,2461,"Vowel",0.01469,501.803,0.2288
"28",298643,"D",4,2461,"Vowel",0.01525,460.547,0.1930
"29",298729,"D",3,2461,"Vowel",0.01556,542.502,0.2400
"30",298863,"E",3,2461,"Vowel",0.01570,438.373,0.2243
"31",298981,"M",1,2461,"Vowel",0.01574,468.742,0.1940
"32",298541,"A",1,2461,"Vowel",0.01662,557.784,0.2399
"33",298619,"D",3,2461,"Vowel",0.01704,473.249,0.2126
"34",299015,"M",3,2461,"Vowel",0.01720,453.640,0.2738
"35",298483,"A",3,2461,"Vowel",0.01722,602.779,0.2284
"36",298701,"D",4,2461,"Vowel",0.01737,456.210,0.2042
"37",298555,"A",4,2461,"Vowel",0.01747,491.317,0.1965
"38",298771,"E",4,2461,"Vowel",0.01760,462.317,0.1987
"39",298983,"M",3,2461,"Vowel",0.01793,464.085,0.2661
"40",299029,"M",4,2461,"Vowel",0.01810,474.781,0.1743
"41",298785,"E",4,2461,"Vowel",0.01836,366.540,0.2196
"42",298715,"D",4,2461,"Vowel",0.01862,493.203,0.1987
"43",298781,"E",4,2461,"Vowel",0.01921,443.451,0.2393
"44",298837,"E",1,2461,"Vowel",0.01946,392.708,0.2513
"45",298469,"A",3,2461,"Vowel",0.01973,509.580,0.2674
"46",298969,"M",2,2461,"Vowel",0.02079,472.756,0.2302
"47",298689,"D",3,2461,"Vowel",0.02093,585.101,0.3362
"48",298493,"A",4,2461,"Vowel",0.02152,627.814,0.2305
"49",298777,"E",4,2461,"Vowel",0.02215,389.390,0.2064
"50",298967,"M",1,2461,"Vowel",0.02346,456.150,0.2959
"51",298625,"D",4,2461,"Vowel",0.02349,554.412,0.2019
"52",298569,"A",2,2461,"Vowel",0.02442,545.352,0.3390
"53",298487,"A",3,2461,"Vowel",0.02442,615.110,0.3401
"54",298545,"A",2,2461,"Vowel",0.02442,643.572,0.2648
"55",298865,"E",3,2461,"Vowel",0.02603,386.161,0.2281
"56",298695,"D",1,2461,"Vowel",0.02695,599.049,0.3390
"57",299019,"M",4,2462,"Consonant",0.00704,460.143,0.2000
"58",298951,"M",1,2462,"Consonant",0.00769,559.249,0.2190
"59",298455,"A",2,2462,"Consonant",0.00854,516.721,0.2081
"60",298809,"E",1,2462,"Consonant",0.00887,522.152,0.2102
"61",298535,"A",1,2462,"Consonant",0.00951,528.257,0.2052
"62",299005,"M",3,2462,"Consonant",0.00958,490.273,0.2000
"63",298477,"A",3,2462,"Consonant",0.01015,511.501,0.2174
"64",298937,"M",3,2462,"Consonant",0.01041,430.817,0.2000
"65",298461,"A",2,2462,"Consonant",0.01088,482.512,0.2426
"66",298813,"E",3,2462,"Consonant",0.01155,414.577,0.2000
"67",298635,"D",4,2462,"Consonant",0.01169,469.364,0.2000
"68",298843,"E",2,2462,"Consonant",0.01193,345.733,0.2097
"69",298557,"A",3,2462,"Consonant",0.01197,569.618,0.1938
"70",298621,"D",3,2462,"Consonant",0.01238,458.476,0.2000
"71",298475,"A",4,2462,"Consonant",0.01261,500.169,0.1976
"72",299017,"M",2,2462,"Consonant",0.01268,595.526,0.1904
"73",298941,"M",2,2462,"Consonant",0.01271,363.028,0.2000
"74",298945,"M",4,2462,"Consonant",0.01420,387.234,0.1914
"75",299047,"M",3,2462,"Consonant",0.01420,511.736,0.2784
"76",298521,"A",3,2462,"Consonant",0.01438,505.549,0.2451
"77",298533,"A",4,2462,"Consonant",0.01448,531.795,0.1780
"78",298697,"D",2,2462,"Consonant",0.01512,556.189,0.2040
"79",298779,"E",3,2462,"Consonant",0.01619,352.815,0.2000
"80",298959,"M",1,2462,"Consonant",0.01623,453.727,0.2196
"81",298977,"M",2,2462,"Consonant",0.01638,572.143,0.2696
"82",298963,"M",4,2462,"Consonant",0.01647,493.085,0.2318
"83",298883,"E",2,2462,"Consonant",0.01657,413.627,0.2029
"84",298507,"A",3,2462,"Consonant",0.01681,568.100,0.3043
"85",298633,"D",2,2462,"Consonant",0.01731,558.819,0.1740
"86",298725,"D",2,2462,"Consonant",0.01741,530.772,0.3024
"87",298691,"D",4,2462,"Consonant",0.01745,451.119,0.1882
"88",298679,"D",3,2462,"Consonant",0.01821,429.160,0.2007
"89",298787,"E",2,2462,"Consonant",0.01836,365.229,0.2342
"90",298663,"D",4,2462,"Consonant",0.01892,596.621,0.2277
"91",298827,"E",2,2462,"Consonant",0.01914,528.363,0.2716
"92",298797,"E",1,2462,"Consonant",0.01994,385.161,0.2447
"93",298783,"E",3,2462,"Consonant",0.02062,458.788,0.2676
"94",298659,"D",4,2462,"Consonant",0.02067,446.344,0.1986
"95",298985,"M",4,2462,"Consonant",0.02182,471.371,0.2073
"96",298551,"A",1,2462,"Consonant",0.02314,522.880,0.2223
"97",298719,"D",2,2462,"Consonant",0.02324,608.170,0.2533
"98",298847,"E",3,2462,"Consonant",0.02343,408.989,0.2173
"99",298489,"A",2,2462,"Consonant",0.02365,515.239,0.2080
"100",298871,"E",1,2462,"Consonant",0.02395,402.952,0.2000
"101",298549,"A",1,2462,"Consonant",0.02442,585.446,0.1932
"102",298717,"D",1,2462,"Consonant",0.02534,576.266,0.2431
"103",298661,"D",1,2462,"Consonant",0.02604,526.272,0.2673
"104",298855,"E",1,2462,"Consonant",0.02782,495.849,0.2048
"105",298793,"E",1,2463,"Structural Unit",0.00464,356.541,0.2000
"106",298875,"E",2,2463,"Structural Unit",0.00658,561.596,0.2025
"107",298467,"A",2,2463,"Structural Unit",0.00689,480.223,0.2000
"108",298943,"M",2,2463,"Structural Unit",0.00768,436.992,0.2000
"109",298933,"M",3,2463,"Structural Unit",0.00823,376.469,0.2000
"110",298611,"D",2,2463,"Structural Unit",0.00839,410.536,0.2000
"111",298707,"D",2,2463,"Structural Unit",0.00871,467.171,0.2242
"112",298811,"E",1,2463,"Structural Unit",0.00876,523.552,0.2069
"113",298457,"A",4,2463,"Structural Unit",0.00930,527.006,0.1735
"114",298683,"D",1,2463,"Structural Unit",0.00949,442.442,0.2000
"115",298723,"D",2,2463,"Structural Unit",0.00973,574.104,0.2185
"116",299009,"M",1,2463,"Structural Unit",0.00999,458.075,0.2000
"117",298965,"M",4,2463,"Structural Unit",0.01023,509.833,0.1736
"118",298935,"M",2,2463,"Structural Unit",0.01034,565.102,0.3119
"119",298561,"A",1,2463,"Structural Unit",0.01056,569.517,0.2456
"120",298699,"D",1,2463,"Structural Unit",0.01105,563.206,0.2449
"121",298665,"D",1,2463,"Structural Unit",0.01108,468.908,0.1991
"122",299001,"M",4,2463,"Structural Unit",0.01116,464.514,0.2073
"123",298675,"D",3,2463,"Structural Unit",0.01161,494.276,0.2173
"124",298817,"E",1,2463,"Structural Unit",0.01216,459.682,0.2672
"125",299043,"M",4,2463,"Structural Unit",0.01224,443.780,0.2000
"126",298795,"E",2,2463,"Structural Unit",0.01236,492.187,0.2337
"127",298711,"D",3,2463,"Structural Unit",0.01255,477.549,0.2209
"128",298459,"A",4,2463,"Structural Unit",0.01269,433.680,0.2000
"129",298885,"E",3,2463,"Structural Unit",0.01330,410.844,0.1925
"130",298529,"A",2,2463,"Structural Unit",0.01366,537.191,0.2620
"131",299031,"M",3,2463,"Structural Unit",0.01372,657.114,0.2240
"132",298957,"M",1,2463,"Structural Unit",0.01379,390.548,0.2000
"133",299049,"M",4,2463,"Structural Unit",0.01389,480.766,0.1971
"134",298687,"D",2,2463,"Structural Unit",0.01399,493.284,0.2329
"135",298805,"E",1,2463,"Structural Unit",0.01425,415.591,0.2206
"136",298803,"E",3,2463,"Structural Unit",0.01437,391.121,0.2405
"137",298775,"E",2,2463,"Structural Unit",0.01501,446.634,0.2356
"138",298879,"E",4,2463,"Structural Unit",0.01512,426.168,0.1842
"139",298789,"E",1,2463,"Structural Unit",0.01539,351.452,0.2000
"140",298453,"A",3,2463,"Structural Unit",0.01577,492.848,0.2068
"141",298515,"A",1,2463,"Structural Unit",0.01617,441.315,0.2000
"142",298637,"D",2,2463,"Structural Unit",0.01738,482.053,0.2375
"143",298501,"A",3,2463,"Structural Unit",0.01751,495.641,0.2478
"144",298491,"A",1,2463,"Structural Unit",0.01761,594.472,0.2154
"145",298997,"M",2,2463,"Structural Unit",0.01832,426.499,0.2672
