"Obs","ctb_item_id","ctb_level_id","ctb_answer_key","ctb_objective_id","ctb_objective_title","a_SS","b_SS","c_par"
"1",308666,"M",2,2498,"Number and Number Operations",0.00755,486.663,0.2000
"2",309074,"D",3,2498,"Number and Number Operations",0.00774,552.927,0.2000
"3",308638,"M",3,2498,"Number and Number Operations",0.00835,543.595,0.1983
"4",308624,"M",2,2498,"Number and Number Operations",0.00857,495.535,0.2072
"5",309574,"A",2,2498,"Number and Number Operations",0.00924,558.877,0.2000
"6",309050,"D",2,2498,"Number and Number Operations",0.00927,545.305,0.1935
"7",306287,"E",2,2498,"Number and Number Operations",0.00963,460.522,0.2000
"8",308784,"M",2,2498,"Number and Number Operations",0.00995,441.534,0.2000
"9",309194,"D",4,2498,"Number and Number Operations",0.01116,574.391,0.2000
"10",308634,"M",3,2498,"Number and Number Operations",0.01126,452.841,0.2000
"11",309396,"A",1,2498,"Number and Number Operations",0.01161,606.348,0.2202
"12",309182,"D",1,2498,"Number and Number Operations",0.01173,485.495,0.1953
"13",309214,"D",4,2498,"Number and Number Operations",0.01195,640.523,0.1796
"14",309726,"A",2,2498,"Number and Number Operations",0.01244,664.133,0.2760
"15",306427,"E",2,2498,"Number and Number Operations",0.01327,475.035,0.1985
"16",308974,"D",1,2498,"Number and Number Operations",0.01333,559.063,0.1641
"17",308602,"M",2,2498,"Number and Number Operations",0.01344,470.537,0.2000
"18",306337,"E",2,2498,"Number and Number Operations",0.01348,411.823,0.2000
"19",308588,"M",4,2498,"Number and Number Operations",0.01353,398.810,0.2000
"20",309608,"A",2,2498,"Number and Number Operations",0.01353,684.117,0.2994
"21",309300,"D",1,2498,"Number and Number Operations",0.01370,541.012,0.2221
"22",308576,"M",1,2498,"Number and Number Operations",0.01381,435.631,0.2000
"23",306175,"E",1,2498,"Number and Number Operations",0.01411,442.044,0.1976
"24",309186,"D",2,2498,"Number and Number Operations",0.01427,480.292,0.2000
"25",308594,"M",4,2498,"Number and Number Operations",0.01525,461.755,0.1693
"26",308822,"M",4,2498,"Number and Number Operations",0.01530,504.210,0.1506
"27",309468,"A",2,2498,"Number and Number Operations",0.01539,670.371,0.2520
"28",306369,"E",3,2498,"Number and Number Operations",0.01562,378.175,0.2000
"29",309360,"D",3,2498,"Number and Number Operations",0.01575,529.576,0.2164
"30",309002,"D",1,2498,"Number and Number Operations",0.01587,468.621,0.2000
"31",308762,"M",1,2498,"Number and Number Operations",0.01610,492.942,0.2251
"32",308824,"M",3,2498,"Number and Number Operations",0.01614,450.011,0.1837
"33",309402,"A",1,2498,"Number and Number Operations",0.01625,520.036,0.1570
"34",309308,"D",1,2498,"Number and Number Operations",0.01648,494.118,0.1721
"35",306171,"E",2,2498,"Number and Number Operations",0.01706,459.110,0.2358
"36",306385,"E",1,2498,"Number and Number Operations",0.01708,410.126,0.2000
"37",306203,"E",4,2498,"Number and Number Operations",0.01720,446.058,0.2000
"38",308664,"M",4,2498,"Number and Number Operations",0.01736,512.279,0.1768
"39",308770,"M",4,2498,"Number and Number Operations",0.01768,538.990,0.1438
"40",306215,"E",1,2498,"Number and Number Operations",0.01774,410.660,0.2000
"41",306313,"E",3,2498,"Number and Number Operations",0.01783,451.262,0.2296
"42",308598,"M",2,2498,"Number and Number Operations",0.01826,464.171,0.1942
