"Obs","ctb_item_id","ctb_level_id","ctb_answer_key","ctb_objective_id","ctb_objective_title","a_SS","b_SS","c_par"
"1",306042,"A",1,2478,"Usage",0.00511,518.373,0.2000
"2",304718,"E",3,2478,"Usage",0.00534,513.501,0.2000
"3",305248,"D",4,2478,"Usage",0.00613,516.823,0.2000
"4",305706,"A",4,2478,"Usage",0.00712,573.485,0.2000
"5",305276,"A",4,2478,"Usage",0.00737,533.990,0.2000
"6",305376,"D",1,2478,"Usage",0.00761,501.686,0.2000
"7",305502,"D",4,2478,"Usage",0.00765,491.452,0.2033
"8",305030,"M",2,2478,"Usage",0.00822,421.338,0.2000
"9",305246,"A",4,2478,"Usage",0.00839,519.731,0.2000
"10",304868,"M",3,2478,"Usage",0.00840,504.801,0.2000
"11",305244,"A",3,2478,"Usage",0.00850,531.444,0.2000
"12",305022,"M",2,2478,"Usage",0.00861,467.278,0.2000
"13",305468,"D",2,2478,"Usage",0.00901,419.644,0.2000
"14",304804,"M",1,2478,"Usage",0.00929,437.946,0.2000
"15",305242,"D",4,2478,"Usage",0.00982,463.913,0.2000
"16",304806,"M",1,2478,"Usage",0.00989,423.822,0.2000
"17",305586,"D",1,2478,"Usage",0.00994,471.106,0.2000
"18",304602,"E",2,2478,"Usage",0.01000,305.717,0.2000
"19",305708,"A",4,2478,"Usage",0.01000,556.200,0.2000
"20",306080,"A",1,2478,"Usage",0.01004,619.408,0.2647
"21",306064,"A",3,2478,"Usage",0.01017,541.298,0.2000
"22",304810,"M",4,2478,"Usage",0.01056,437.815,0.2000
"23",305042,"M",4,2478,"Usage",0.01059,597.826,0.2003
"24",305404,"D",1,2478,"Usage",0.01074,510.110,0.2000
"25",305206,"M",1,2478,"Usage",0.01095,481.165,0.1850
"26",304864,"M",4,2478,"Usage",0.01099,546.195,0.2332
"27",305034,"M",1,2478,"Usage",0.01149,435.107,0.2000
"28",304816,"M",3,2478,"Usage",0.01165,509.196,0.2237
"29",305906,"A",1,2478,"Usage",0.01167,444.851,0.2000
"30",304818,"M",2,2478,"Usage",0.01177,419.988,0.2008
"31",305462,"D",2,2478,"Usage",0.01198,438.131,0.2000
"32",305070,"M",1,2478,"Usage",0.01204,463.725,0.2000
"33",305700,"A",4,2478,"Usage",0.01243,473.685,0.2000
"34",306044,"A",3,2478,"Usage",0.01254,490.769,0.2000
"35",305696,"A",2,2478,"Usage",0.01270,526.928,0.2163
"36",305182,"M",4,2478,"Usage",0.01276,470.263,0.1846
"37",304840,"M",4,2478,"Usage",0.01292,459.742,0.1863
"38",305282,"D",4,2478,"Usage",0.01295,471.554,0.2000
"39",305690,"A",4,2478,"Usage",0.01313,492.261,0.2000
"40",305492,"D",4,2478,"Usage",0.01315,579.851,0.2482
"41",304950,"M",3,2478,"Usage",0.01321,515.971,0.2116
"42",305270,"D",2,2478,"Usage",0.01345,542.460,0.2423
"43",304364,"E",3,2478,"Usage",0.01355,490.747,0.2053
"44",306088,"A",2,2478,"Usage",0.01357,522.054,0.2187
"45",306072,"A",1,2478,"Usage",0.01367,624.383,0.3102
"46",304702,"E",4,2478,"Usage",0.01368,466.248,0.1901
"47",305020,"M",3,2478,"Usage",0.01372,389.647,0.2000
"48",304592,"E",4,2478,"Usage",0.01390,446.490,0.1908
"49",304994,"M",1,2478,"Usage",0.01404,523.592,0.2094
"50",305264,"D",3,2478,"Usage",0.01411,564.770,0.2579
"51",305258,"D",3,2478,"Usage",0.01414,516.054,0.2264
"52",304424,"E",3,2478,"Usage",0.01419,425.356,0.2023
"53",305408,"D",3,2478,"Usage",0.01423,476.956,0.1906
"54",305488,"D",1,2478,"Usage",0.01430,551.662,0.2401
"55",305442,"D",4,2478,"Usage",0.01439,581.567,0.2133
"56",304820,"M",4,2478,"Usage",0.01452,514.809,0.2007
"57",305216,"M",3,2478,"Usage",0.01465,522.494,0.2342
"58",305918,"A",3,2478,"Usage",0.01466,621.103,0.2876
"59",305460,"D",1,2478,"Usage",0.01524,456.624,0.2000
"60",304598,"E",2,2478,"Usage",0.01542,423.914,0.1981
"61",305412,"D",3,2478,"Usage",0.01557,463.570,0.2000
"62",306084,"A",3,2478,"Usage",0.01577,494.420,0.2060
"63",305606,"D",2,2478,"Usage",0.01592,454.805,0.1915
"64",305466,"D",4,2478,"Usage",0.01598,388.316,0.2000
"65",305420,"D",4,2478,"Usage",0.01627,567.490,0.2411
"66",306052,"A",1,2478,"Usage",0.01642,484.308,0.2045
"67",305582,"D",4,2478,"Usage",0.01648,491.476,0.1794
"68",304964,"M",3,2478,"Usage",0.01657,443.469,0.2000
"69",304370,"E",3,2478,"Usage",0.01663,432.047,0.1941
"70",306098,"A",2,2478,"Usage",0.01668,526.295,0.2711
"71",306054,"A",4,2478,"Usage",0.01671,486.151,0.2025
"72",306086,"A",1,2478,"Usage",0.01682,481.441,0.2000
"73",304936,"M",3,2478,"Usage",0.01698,455.895,0.1754
"74",305472,"D",4,2478,"Usage",0.01698,533.604,0.2953
"75",305912,"A",1,2478,"Usage",0.01713,528.062,0.2745
"76",305048,"M",2,2478,"Usage",0.01715,483.574,0.2413
"77",304952,"M",1,2478,"Usage",0.01732,468.847,0.1859
"78",304756,"E",1,2478,"Usage",0.01777,462.212,0.1901
"79",305676,"A",4,2478,"Usage",0.01792,544.321,0.3016
"80",304594,"E",2,2478,"Usage",0.01802,411.844,0.2000
"81",304374,"E",3,2478,"Usage",0.01810,418.372,0.1989
"82",305474,"D",3,2478,"Usage",0.01832,520.077,0.2862
"83",304368,"E",4,2478,"Usage",0.01838,421.409,0.2000
"84",304524,"E",3,2478,"Usage",0.01841,420.078,0.2000
"85",305930,"A",4,2478,"Usage",0.01863,594.986,0.2271
"86",306046,"A",4,2478,"Usage",0.01869,469.016,0.2072
"87",304984,"M",3,2478,"Usage",0.01879,455.041,0.2000
"88",305188,"M",3,2478,"Usage",0.01880,454.226,0.1993
"89",305512,"D",3,2478,"Usage",0.01881,519.524,0.2998
"90",304752,"E",3,2478,"Usage",0.01888,492.748,0.2043
"91",305438,"D",1,2478,"Usage",0.01909,592.273,0.2466
"92",304526,"E",2,2478,"Usage",0.01921,418.206,0.2000
"93",304388,"E",3,2478,"Usage",0.01951,514.360,0.2440
"94",306066,"A",3,2478,"Usage",0.01953,502.009,0.2382
"95",304832,"M",4,2478,"Usage",0.01957,516.210,0.2794
"96",304606,"E",4,2478,"Usage",0.01968,475.890,0.2207
"97",304398,"E",1,2478,"Usage",0.01990,414.789,0.2000
"98",305824,"A",4,2478,"Usage",0.02014,491.946,0.1975
"99",305186,"M",1,2478,"Usage",0.02016,469.262,0.1877
"100",305470,"D",2,2478,"Usage",0.02018,514.824,0.2374
"101",306100,"A",3,2478,"Usage",0.02046,478.369,0.2073
"102",304516,"E",1,2478,"Usage",0.02055,466.976,0.2395
"103",305046,"M",2,2478,"Usage",0.02077,569.402,0.2078
"104",305864,"A",1,2478,"Usage",0.02104,482.919,0.2157
"105",304416,"E",4,2478,"Usage",0.02131,419.544,0.2000
"106",304932,"M",4,2478,"Usage",0.02296,433.521,0.1797
"107",305834,"A",1,2478,"Usage",0.02314,475.357,0.2132
"108",305584,"D",3,2478,"Usage",0.02334,462.514,0.1820
"109",305644,"D",1,2478,"Usage",0.02351,540.407,0.2045
"110",304588,"E",4,2478,"Usage",0.02374,455.413,0.1791
"111",305274,"D",2,2478,"Usage",0.02374,538.368,0.2709
"112",305222,"M",2,2478,"Usage",0.02415,542.144,0.2170
"113",305212,"M",1,2478,"Usage",0.02513,451.890,0.2620
"114",305814,"A",1,2478,"Usage",0.02693,474.183,0.2076
"115",304508,"E",2,2478,"Usage",0.02714,436.435,0.2057
"116",305386,"D",4,2478,"Usage",0.02902,465.675,0.2301
"117",305262,"D",1,2478,"Usage",0.02902,562.090,0.2149
"118",304716,"E",3,2478,"Usage",0.03008,514.601,0.2724
"119",304420,"E",2,2478,"Usage",0.03221,475.460,0.2589
"120",304382,"E",4,2478,"Usage",0.03221,540.208,0.2336
"121",304432,"E",2,2479,"Sentence Formation",0.00640,527.142,0.2000
"122",305950,"A",2,2479,"Sentence Formation",0.00796,541.551,0.2000
"123",305530,"D",3,2479,"Sentence Formation",0.00808,508.359,0.2000
"124",305410,"D",4,2479,"Sentence Formation",0.00809,546.104,0.1918
"125",305072,"M",2,2479,"Sentence Formation",0.00849,531.250,0.2000
"126",304380,"E",1,2479,"Sentence Formation",0.00896,511.097,0.2039
"127",305528,"A",2,2479,"Sentence Formation",0.00920,510.253,0.2000
"128",305092,"M",4,2479,"Sentence Formation",0.00957,425.562,0.2000
"129",305104,"M",3,2479,"Sentence Formation",0.00984,439.513,0.2000
"130",305268,"A",1,2479,"Sentence Formation",0.00996,514.899,0.2000
"131",304652,"E",4,2479,"Sentence Formation",0.01060,588.545,0.2021
"132",305948,"A",4,2479,"Sentence Formation",0.01071,597.780,0.2000
"133",305434,"D",3,2479,"Sentence Formation",0.01132,517.753,0.1807
"134",304732,"E",3,2479,"Sentence Formation",0.01138,576.133,0.2234
"135",304888,"M",4,2479,"Sentence Formation",0.01208,469.450,0.1861
"136",304892,"M",2,2479,"Sentence Formation",0.01262,438.212,0.1987
"137",304948,"M",1,2479,"Sentence Formation",0.01265,487.074,0.1875
"138",304880,"M",1,2479,"Sentence Formation",0.01278,486.841,0.1818
"139",305294,"D",2,2479,"Sentence Formation",0.01282,409.317,0.2000
"140",304638,"E",3,2479,"Sentence Formation",0.01288,454.887,0.2000
"141",305406,"D",4,2479,"Sentence Formation",0.01315,503.560,0.1792
"142",306062,"A",3,2479,"Sentence Formation",0.01323,512.462,0.2000
"143",305292,"D",2,2479,"Sentence Formation",0.01344,471.560,0.2000
"144",304750,"E",2,2479,"Sentence Formation",0.01350,448.581,0.2000
"145",305954,"A",1,2479,"Sentence Formation",0.01369,475.848,0.2000
"146",305090,"M",4,2479,"Sentence Formation",0.01390,445.769,0.2000
"147",304878,"M",1,2479,"Sentence Formation",0.01422,494.160,0.1978
"148",305534,"D",4,2479,"Sentence Formation",0.01479,454.565,0.2000
"149",305388,"D",1,2479,"Sentence Formation",0.01491,513.876,0.1903
"150",304884,"M",4,2479,"Sentence Formation",0.01525,427.327,0.1855
"151",304870,"M",3,2479,"Sentence Formation",0.01542,540.794,0.2638
"152",304992,"M",3,2479,"Sentence Formation",0.01557,579.745,0.2137
"153",304758,"E",4,2479,"Sentence Formation",0.01559,475.879,0.1808
"154",304438,"E",2,2479,"Sentence Formation",0.01583,443.825,0.2000
"155",305532,"D",1,2479,"Sentence Formation",0.01602,448.336,0.2000
"156",304632,"E",4,2479,"Sentence Formation",0.01606,470.139,0.2052
"157",305746,"A",4,2479,"Sentence Formation",0.01614,499.338,0.2000
"158",304642,"E",1,2479,"Sentence Formation",0.01642,485.526,0.1885
"159",305740,"A",3,2479,"Sentence Formation",0.01658,481.195,0.2186
"160",305298,"A",4,2479,"Sentence Formation",0.01698,468.363,0.2000
"161",305100,"M",1,2479,"Sentence Formation",0.01728,427.030,0.1865
"162",304658,"E",1,2479,"Sentence Formation",0.01738,425.039,0.1913
"163",305066,"M",2,2479,"Sentence Formation",0.01767,571.705,0.2679
"164",305418,"D",2,2479,"Sentence Formation",0.01803,472.807,0.1766
"165",305830,"A",2,2479,"Sentence Formation",0.01817,543.234,0.2177
"166",306104,"A",1,2479,"Sentence Formation",0.01838,544.462,0.2167
"167",305526,"D",1,2479,"Sentence Formation",0.01840,434.267,0.1925
"168",305860,"A",2,2479,"Sentence Formation",0.01854,505.143,0.2554
"169",305734,"A",2,2479,"Sentence Formation",0.01858,487.154,0.2331
"170",305952,"A",4,2479,"Sentence Formation",0.01942,446.749,0.2000
"171",305934,"A",3,2479,"Sentence Formation",0.01987,546.688,0.2744
"172",304660,"E",3,2479,"Sentence Formation",0.02001,442.668,0.1954
"173",304426,"E",3,2479,"Sentence Formation",0.02014,407.978,0.2000
"174",305610,"D",4,2479,"Sentence Formation",0.02034,540.065,0.1766
"175",305192,"M",2,2479,"Sentence Formation",0.02055,524.966,0.2820
"176",306094,"A",2,2479,"Sentence Formation",0.02056,527.112,0.2601
"177",305522,"A",4,2479,"Sentence Formation",0.02095,446.917,0.1845
"178",305962,"A",2,2479,"Sentence Formation",0.02174,468.368,0.2029
"179",305290,"D",1,2479,"Sentence Formation",0.02265,432.887,0.2000
"180",304430,"E",4,2479,"Sentence Formation",0.02277,410.512,0.1890
"181",304762,"E",3,2479,"Sentence Formation",0.02320,476.720,0.2817
"182",304982,"M",2,2479,"Sentence Formation",0.02330,544.410,0.2747
"183",306074,"A",1,2479,"Sentence Formation",0.02363,524.370,0.2217
"184",305202,"M",2,2479,"Sentence Formation",0.02408,576.212,0.2331
"185",305958,"A",3,2479,"Sentence Formation",0.02413,464.860,0.2277
"186",305520,"A",1,2479,"Sentence Formation",0.02420,436.553,0.2000
"187",304648,"E",1,2479,"Sentence Formation",0.02555,436.711,0.1847
"188",305858,"A",4,2479,"Sentence Formation",0.02564,495.956,0.1798
"189",305744,"A",1,2479,"Sentence Formation",0.02594,444.516,0.2000
"190",305732,"A",4,2479,"Sentence Formation",0.02612,445.323,0.2074
"191",304656,"E",2,2479,"Sentence Formation",0.02710,465.215,0.1874
"192",304532,"E",2,2479,"Sentence Formation",0.03221,494.711,0.2491
"193",305564,"D",3,2480,"Paragraph Development",0.00729,512.690,0.2000
"194",305768,"A",2,2480,"Paragraph Development",0.00846,600.268,0.2218
"195",305310,"D",4,2480,"Paragraph Development",0.00917,550.394,0.1855
"196",305544,"D",1,2480,"Paragraph Development",0.00921,499.994,0.1955
"197",305752,"A",3,2480,"Paragraph Development",0.00931,501.165,0.2000
"198",305778,"A",3,2480,"Paragraph Development",0.00973,576.194,0.2000
"199",304448,"E",2,2480,"Paragraph Development",0.00978,421.559,0.2000
"200",305340,"D",2,2480,"Paragraph Development",0.01001,542.059,0.2085
"201",304906,"M",1,2480,"Paragraph Development",0.01003,476.412,0.1878
"202",305772,"A",3,2480,"Paragraph Development",0.01008,535.512,0.2130
"203",305758,"A",1,2480,"Paragraph Development",0.01051,510.562,0.2000
"204",304914,"M",4,2480,"Paragraph Development",0.01066,516.220,0.2000
"205",305324,"D",4,2480,"Paragraph Development",0.01109,504.407,0.1880
"206",305562,"D",1,2480,"Paragraph Development",0.01116,509.199,0.1899
"207",305764,"A",4,2480,"Paragraph Development",0.01134,537.638,0.2000
"208",305330,"D",4,2480,"Paragraph Development",0.01156,499.568,0.2000
"209",304898,"M",4,2480,"Paragraph Development",0.01160,460.401,0.2000
"210",305966,"A",2,2480,"Paragraph Development",0.01188,579.982,0.2267
"211",305986,"A",4,2480,"Paragraph Development",0.01227,527.160,0.2000
"212",305124,"M",4,2480,"Paragraph Development",0.01227,607.354,0.2369
"213",304460,"E",1,2480,"Paragraph Development",0.01245,484.107,0.1968
"214",305314,"D",1,2480,"Paragraph Development",0.01254,465.687,0.2000
"215",305774,"A",1,2480,"Paragraph Development",0.01282,554.891,0.1890
"216",304668,"E",1,2480,"Paragraph Development",0.01303,476.281,0.1855
"217",304894,"M",3,2480,"Paragraph Development",0.01306,503.412,0.2140
"218",305762,"A",1,2480,"Paragraph Development",0.01361,509.767,0.2000
"219",305558,"D",2,2480,"Paragraph Development",0.01400,559.241,0.2182
"220",305316,"D",4,2480,"Paragraph Development",0.01410,561.864,0.1890
"221",305116,"M",4,2480,"Paragraph Development",0.01419,537.561,0.2187
"222",305120,"M",4,2480,"Paragraph Development",0.01422,441.589,0.2000
"223",305338,"D",2,2480,"Paragraph Development",0.01433,483.672,0.1813
"224",305546,"D",2,2480,"Paragraph Development",0.01441,514.037,0.2372
"225",305550,"A",2,2480,"Paragraph Development",0.01460,498.943,0.2365
"226",304690,"E",4,2480,"Paragraph Development",0.01485,475.027,0.1809
"227",304904,"M",4,2480,"Paragraph Development",0.01488,466.388,0.1805
"228",305326,"D",3,2480,"Paragraph Development",0.01521,547.223,0.2514
"229",306002,"A",3,2480,"Paragraph Development",0.01558,474.557,0.2000
"230",304908,"M",2,2480,"Paragraph Development",0.01564,516.498,0.2221
"231",304900,"M",3,2480,"Paragraph Development",0.01566,488.461,0.2141
"232",305312,"D",3,2480,"Paragraph Development",0.01617,516.543,0.2273
"233",305556,"D",1,2480,"Paragraph Development",0.01624,465.880,0.2000
"234",305128,"M",1,2480,"Paragraph Development",0.01636,460.568,0.1829
"235",305110,"M",3,2480,"Paragraph Development",0.01642,472.575,0.2144
"236",304452,"E",3,2480,"Paragraph Development",0.01738,467.531,0.2046
"237",305570,"D",3,2480,"Paragraph Development",0.01773,466.228,0.2150
"238",304920,"M",3,2480,"Paragraph Development",0.01808,562.784,0.2846
"239",305540,"D",4,2480,"Paragraph Development",0.01830,520.902,0.2292
"240",304684,"E",1,2480,"Paragraph Development",0.01836,440.610,0.1924
"241",305332,"D",2,2480,"Paragraph Development",0.01866,612.115,0.1930
"242",304674,"E",2,2480,"Paragraph Development",0.01867,503.795,0.2007
"243",305112,"M",3,2480,"Paragraph Development",0.01892,544.603,0.2707
"244",305304,"D",2,2480,"Paragraph Development",0.01931,539.310,0.2414
"245",304662,"E",1,2480,"Paragraph Development",0.01981,447.750,0.1808
"246",304450,"E",1,2480,"Paragraph Development",0.02003,426.759,0.2000
"247",305136,"M",3,2480,"Paragraph Development",0.02027,455.355,0.1841
"248",305134,"M",2,2480,"Paragraph Development",0.02061,460.614,0.2030
"249",304670,"E",3,2480,"Paragraph Development",0.02066,507.017,0.1929
"250",304916,"M",2,2480,"Paragraph Development",0.02116,467.136,0.2225
"251",305974,"A",3,2480,"Paragraph Development",0.02162,479.422,0.2168
"252",305996,"A",2,2480,"Paragraph Development",0.02177,602.749,0.2977
"253",305566,"D",2,2480,"Paragraph Development",0.02290,497.986,0.2306
"254",305542,"D",2,2480,"Paragraph Development",0.02295,545.433,0.2273
"255",305548,"A",2,2480,"Paragraph Development",0.02307,602.334,0.1949
"256",305984,"A",1,2480,"Paragraph Development",0.02319,486.845,0.1940
"257",305782,"A",4,2480,"Paragraph Development",0.02361,475.582,0.1655
"258",305336,"D",4,2480,"Paragraph Development",0.02457,477.160,0.2129
"259",304466,"E",2,2480,"Paragraph Development",0.02554,467.291,0.1917
"260",304456,"E",2,2480,"Paragraph Development",0.02640,473.658,0.2267
"261",306004,"A",4,2480,"Paragraph Development",0.02754,506.365,0.2199
"262",305552,"A",1,2480,"Paragraph Development",0.02754,635.633,0.1879
"263",304458,"E",3,2480,"Paragraph Development",0.02759,550.070,0.2300
"264",304462,"E",4,2480,"Paragraph Development",0.02928,421.430,0.1849
"265",304444,"E",4,2480,"Paragraph Development",0.03141,462.273,0.2081
"266",304468,"E",3,2480,"Paragraph Development",0.03221,432.486,0.2088
"267",305720,"A",1,2481,"Capitalization",0.00815,538.295,0.2000
"268",305940,"A",3,2481,"Capitalization",0.00819,620.798,0.2180
"269",305184,"M",3,2481,"Capitalization",0.00897,514.339,0.2000
"270",305516,"D",3,2481,"Capitalization",0.01080,538.732,0.2136
