"Obs","ctb_item_id","ctb_level_id","ctb_answer_key","ctb_objective_id","ctb_objective_title","a_SS","b_SS","c_par"
"1",300181,"M",2,3122,"Add Whole Numbers",0.00762,251.352,0.1500
"2",300221,"M",3,3122,"Add Whole Numbers",0.01077,311.063,0.1500
"3",300023,"M",5,3122,"Add Whole Numbers",0.01081,335.411,0.1500
"4",300249,"M",1,3122,"Add Whole Numbers",0.01103,359.191,0.1500
"5",300175,"E",4,3122,"Add Whole Numbers",0.01181,343.069,0.1500
"6",300415,"M",3,3122,"Add Whole Numbers",0.01212,373.729,0.1500
"7",299955,"M",2,3122,"Add Whole Numbers",0.01320,329.136,0.1500
"8",299879,"M",1,3122,"Add Whole Numbers",0.01320,333.943,0.1500
"9",300403,"E",3,3122,"Add Whole Numbers",0.01336,357.373,0.1500
"10",300195,"M",1,3122,"Add Whole Numbers",0.01340,341.098,0.1514
"11",300217,"M",3,3122,"Add Whole Numbers",0.01392,342.152,0.1500
"12",300395,"M",1,3122,"Add Whole Numbers",0.01427,348.206,0.1500
"13",300359,"M",1,3122,"Add Whole Numbers",0.01434,365.967,0.1500
"14",299977,"E",4,3122,"Add Whole Numbers",0.01473,361.689,0.1500
"15",299981,"E",4,3122,"Add Whole Numbers",0.01561,351.345,0.1500
"16",300183,"E",4,3122,"Add Whole Numbers",0.01589,383.885,0.1500
"17",300055,"E",1,3122,"Add Whole Numbers",0.01655,376.857,0.1500
"18",300009,"E",2,3122,"Add Whole Numbers",0.01663,366.573,0.1500
"19",299873,"E",3,3122,"Add Whole Numbers",0.01665,355.425,0.1500
"20",299837,"E",2,3122,"Add Whole Numbers",0.01689,359.318,0.1558
"21",300027,"E",4,3122,"Add Whole Numbers",0.01690,359.864,0.1500
"22",300385,"E",4,3122,"Add Whole Numbers",0.01701,369.472,0.1500
"23",299817,"E",4,3122,"Add Whole Numbers",0.01746,343.161,0.1500
"24",299913,"E",4,3122,"Add Whole Numbers",0.01761,367.939,0.1500
"25",300251,"E",3,3122,"Add Whole Numbers",0.01853,357.749,0.1500
"26",299851,"E",1,3122,"Add Whole Numbers",0.01931,339.371,0.1500
"27",299833,"E",1,3122,"Add Whole Numbers",0.02047,312.911,0.1500
"28",299985,"E",4,3122,"Add Whole Numbers",0.02060,360.204,0.1500
"29",299997,"E",1,3122,"Add Whole Numbers",0.02134,340.928,0.1500
"30",300053,"M",4,3123,"Subtract Whole Numbers",0.00861,356.428,0.1500
"31",300219,"M",2,3123,"Subtract Whole Numbers",0.00995,323.525,0.1500
"32",300265,"M",4,3123,"Subtract Whole Numbers",0.01013,361.881,0.1500
"33",300101,"M",1,3123,"Subtract Whole Numbers",0.01027,347.540,0.1500
"34",300007,"E",1,3123,"Subtract Whole Numbers",0.01278,356.373,0.1500
"35",299897,"E",2,3123,"Subtract Whole Numbers",0.01311,344.184,0.1500
"36",299999,"M",4,3123,"Subtract Whole Numbers",0.01322,411.453,0.1454
"37",300439,"M",1,3123,"Subtract Whole Numbers",0.01426,427.017,0.1500
"38",300021,"E",3,3123,"Subtract Whole Numbers",0.01429,346.606,0.1538
"39",300035,"M",3,3123,"Subtract Whole Numbers",0.01446,395.194,0.1500
"40",299973,"M",5,3123,"Subtract Whole Numbers",0.01471,371.262,0.1500
"41",300455,"M",4,3123,"Subtract Whole Numbers",0.01488,437.305,0.1441
"42",300199,"M",3,3123,"Subtract Whole Numbers",0.01516,425.158,0.1500
"43",300291,"M",3,3123,"Subtract Whole Numbers",0.01530,437.826,0.1374
"44",300177,"M",1,3123,"Subtract Whole Numbers",0.01567,432.118,0.1500
"45",300387,"M",5,3123,"Subtract Whole Numbers",0.01569,389.613,0.1500
"46",299829,"E",3,3123,"Subtract Whole Numbers",0.01691,364.430,0.1500
"47",299857,"E",3,3123,"Subtract Whole Numbers",0.01753,376.372,0.1500
"48",299813,"E",1,3123,"Subtract Whole Numbers",0.01794,340.952,0.1500
"49",299983,"E",2,3123,"Subtract Whole Numbers",0.01844,363.926,0.1500
"50",299839,"E",1,3123,"Subtract Whole Numbers",0.01905,384.735,0.1500
"51",300039,"E",3,3123,"Subtract Whole Numbers",0.01952,419.118,0.1530
"52",299877,"E",5,3123,"Subtract Whole Numbers",0.02050,448.190,0.1398
"53",299861,"E",1,3123,"Subtract Whole Numbers",0.02361,371.679,0.1500
"54",300111,"E",1,3123,"Subtract Whole Numbers",0.02363,432.753,0.1285
"55",300119,"E",2,3123,"Subtract Whole Numbers",0.02391,430.318,0.1750
"56",299893,"E",1,3123,"Subtract Whole Numbers",0.02470,417.207,0.1816
"57",300063,"E",2,3123,"Subtract Whole Numbers",0.02568,437.803,0.1882
"58",299869,"E",1,3123,"Subtract Whole Numbers",0.02611,394.734,0.1457
"59",299623,"D",4,3124,"Multiply Whole Numbers",0.01225,432.797,0.1500
"60",300213,"D",5,3124,"Multiply Whole Numbers",0.01237,433.194,0.1500
"61",299467,"D",4,3124,"Multiply Whole Numbers",0.01292,384.175,0.1500
"62",299489,"D",1,3124,"Multiply Whole Numbers",0.01303,434.198,0.1500
"63",300389,"D",1,3124,"Multiply Whole Numbers",0.01323,448.784,0.1500
"64",300209,"M",4,3124,"Multiply Whole Numbers",0.01334,378.295,0.1500
"65",299657,"D",4,3124,"Multiply Whole Numbers",0.01366,431.159,0.1500
"66",299551,"D",4,3124,"Multiply Whole Numbers",0.01409,478.638,0.1359
"67",300367,"M",2,3124,"Multiply Whole Numbers",0.01417,397.332,0.1500
"68",299635,"D",3,3124,"Multiply Whole Numbers",0.01471,406.096,0.1500
"69",300427,"M",1,3124,"Multiply Whole Numbers",0.01555,380.536,0.1500
"70",300377,"M",3,3124,"Multiply Whole Numbers",0.01586,468.800,0.1381
"71",299753,"D",3,3124,"Multiply Whole Numbers",0.01608,451.187,0.1500
"72",299919,"M",1,3124,"Multiply Whole Numbers",0.01632,397.548,0.1500
"73",299531,"D",1,3124,"Multiply Whole Numbers",0.01649,465.752,0.1601
"74",300317,"M",4,3124,"Multiply Whole Numbers",0.01681,434.663,0.1433
"75",299881,"E",3,3124,"Multiply Whole Numbers",0.01684,367.821,0.1671
"76",300293,"M",1,3124,"Multiply Whole Numbers",0.01695,442.120,0.1504
"77",299969,"M",2,3124,"Multiply Whole Numbers",0.01748,371.352,0.1500
"78",299931,"M",4,3124,"Multiply Whole Numbers",0.01764,385.023,0.1503
"79",300001,"E",4,3124,"Multiply Whole Numbers",0.02022,360.879,0.1500
"80",299863,"E",2,3124,"Multiply Whole Numbers",0.02078,367.485,0.1500
"81",300361,"E",3,3124,"Multiply Whole Numbers",0.02094,376.354,0.1532
"82",300187,"E",4,3124,"Multiply Whole Numbers",0.02097,366.420,0.1500
"83",299841,"E",3,3124,"Multiply Whole Numbers",0.02106,366.292,0.1573
"84",300267,"M",1,3124,"Multiply Whole Numbers",0.02107,460.643,0.1470
"85",300225,"M",4,3124,"Multiply Whole Numbers",0.02110,419.636,0.1440
"86",300445,"M",3,3124,"Multiply Whole Numbers",0.02183,420.667,0.1441
"87",300337,"E",1,3124,"Multiply Whole Numbers",0.02195,369.850,0.1500
"88",299989,"E",4,3124,"Multiply Whole Numbers",0.02215,391.682,0.1395
"89",300243,"M",2,3124,"Multiply Whole Numbers",0.02244,416.622,0.1602
