Subtest,Objective ID,Objective,TABE 10 Complete Battery,,,,,
,,,L,E,M,D,A,T
Pre-Reading (PR),,Matching Letters,6,-,-,-,-,
,,Recognizing Letters,4,-,-,-,-,
,,Recognizing Beginning and EndingSounds,4,-,-,-,-,
,,Middle Sounds,4,-,-,-,-,
RD,3116,Words in Context,12,5,6,4,4,
RD,3117,Interpret Graphic Information,4,10,4,5,4,
RD,3118,Recall Information,9,14,13,15,12,
RD,3119,Construct Meaning,7,14,17,13,17,
RD,3120,Evaluate/Extend Meaning,0,7,10,13,13,
MC,3122,Add Whole Numbers,10,4,3,0,0,0
MC,3123,Subtract Whole Numbers,10,4,3,0,0,0
MC,3124,Multiply Whole Numbers,0,4,3,2,0,0
MC,3125,Divide Whole Numbers,0,4,3,2,0,0
MC,3126,Decimals,0,4,4,4,4,0
MC,3127,Fractions,0,0,4,4,4,4
MC,3128,Integers,0,0,0,5,4,4
MC,3129,Percents,0,0,0,3,3,4
MC,3130,Order of Operations,0,0,0,0,3,4
MC,3131,Algebraic Operations,0,0,0,0,2,4
AM,2498,Number & Number Operations,0,10,10,8,6,
AM,2499,Computation in Context,0,7,5,4,4,
AM,2500,Estimation,0,5,4,5,4,
AM,2501,Measurement,0,5,6,6,6,
AM,2502,Geometry & Spatial Sense,0,5,6,6,6,
AM,2503,Data Analysis,0,6,6,6,8,
AM,2504,Statistics & Probability,0,4,4,4,4,
AM,2505,Patterns Functions Algebra,0,4,5,6,8,
AM,2506,Problem Solving & Reasoning,0,4,4,4,4,
LA,2478,Usage,0,12,16,17,15,
LA,2479,Sentence Formation,0,9,9,6,12,
LA,2480,Paragraph Development,0,8,9,11,8
LA,2481,Capitalization,0,10,6,5,0
LA,2482,Punctuation,0,10,5,5,8
LA,2483,Writing Conventions,0,1,5,6,7
VO,2475,Word Meaning,0,9,8,8,8
VO,2476,Multi-meaning Words,0,4,5,4,4
VO,2477,Words in Context,0,7,7,8,8
LM,2473,Sentences Phrases Clauses,0,8,11,11,14
LM,2474,Writing Conventions,0,12,9,9,6
SP,2461,Vowel,0,7,7,7,7
SP,2462,Consonant,0,6,6,6,6
SP,2463,Structural Unit,0,7,7,7,7
