,Level,N,Mean,Std Dev,Minimum/LOSS,Maximum/HOSS, ,
RD,L,2281,424.35,84.47,160,515,,
RD,E,1713,438.64,96.62,175,630,,
RD,M,2906,504.01,77.47,255,702,,
RD,D,2931,519.03,78.13,285,778,,
RD,A,2420,562.53,84.96,300,812,12251 *,495.19
MC,L,2428,432.73,61.53,200,480,,
MC,E,1669,440.05,62.89,235,546,,
MC,M,2987,487.28,70.25,245,622,,
MC,D,2851,506.54,78.38,255,687,,
MC,A,2484,542.76,78.22,290,755,12419 *,485.79
AM,L,2335,441.7,82.57,160,550,,
AM,E,1420,438.35,81.51,200,652,,
AM,M,2803,488.9,71.05,240,716,,
AM,D,2904,516.89,72.42,317,781,,
AM,A,2708,543.35,82.88,375,795,12170 *,492.74
LA,E,1335,432.63,82.72,235,803,,
LA,M,2718,491.28,73.76,260,807,,
LA,D,2915,515.2,72.1,295,810,,
LA,A,2403,535,75.21,337,826,9371,501.58
VO,E,1324,440.19,124.45,175,630,,
VO,M,2691,521.06,99.93,255,702,,
VO,D,2912,542.29,96.49,285,778,,
VO,A,2727,526.34,113.5,300,812,9654,517.87
LM,E,1190,442.67,109.89,235,803,,
LM,M,2650,487.52,92.85,260,807,,
LM,D,2878,517.73,92.53,295,810,,
LM,A,2716,523.74,96.54,337,826,9434,501.51
SP,E,1072,405.79,99.02,220,560,,
SP,M,2653,482.69,93.64,260,670,,
SP,D,2885,503.61,87.93,320,715,,
SP,A,2786,522.86,93.54,340,745,9396,492.25
